clinic_name,total_visits,revenue,avg_outcome_score
Smith Physical Therapy,500,82726.25,69.36
Mullen Physical Therapy,273,43965.95,68.98
Harris Physical Therapy,265,43885.01,70.67
Martinez Physical Therapy,264,43782.14,69.25
Johnson Physical Therapy,259,43338.57,70.15
Pruitt Physical Therapy,263,43252.04,70.86
Murphy Physical Therapy,253,42573.09,70.17
Morrison Physical Therapy,255,42129.08,69.67
Solomon Physical Therapy,250,41489.83,70.26
Boyd Physical Therapy,253,40588.2,69.58
Flores Physical Therapy,244,40453.21,70.69
Davidson Physical Therapy,248,40287.44,68.91
Henderson Physical Therapy,244,40228.44,69.8
Wilson Physical Therapy,237,40014.19,69.03
Medina Physical Therapy,243,39960.44,72.09
Rodriguez Physical Therapy,240,39954.49,70.66
Ortiz Physical Therapy,239,39558.95,72.29
Norton Physical Therapy,233,39478.26,69.63
Cameron Physical Therapy,237,39432.75,68.74
