clinic_name,revenue
Smith Physical Therapy,82726.25
Mullen Physical Therapy,43965.95
Harris Physical Therapy,43885.01
Martinez Physical Therapy,43782.14
Johnson Physical Therapy,43338.57
Pruitt Physical Therapy,43252.04
Murphy Physical Therapy,42573.09
Morrison Physical Therapy,42129.08
Solomon Physical Therapy,41489.83
Boyd Physical Therapy,40588.2
Flores Physical Therapy,40453.21
Davidson Physical Therapy,40287.44
Henderson Physical Therapy,40228.44
Wilson Physical Therapy,40014.19
Medina Physical Therapy,39960.44
Rodriguez Physical Therapy,39954.49
Ortiz Physical Therapy,39558.95
Norton Physical Therapy,39478.26
Cameron Physical Therapy,39432.75
